,Linear Regression,Ridge Regression,Lasso Regression,KNN
MSLE,0.00224353802823008,0.002243537534181473,0.0022436067809919603,0.0036445487180454604
Root MSLE,0.04736600076246759,0.04736599554724331,0.04736672651758785,0.06037009788003876
R2 Score,0.5784148353286863,0.5784149479593277,0.5784035843348213,0.3085517126786388
Accuracy(%),57.8415,57.8415,57.8404,30.8552
